11412,13929,16860,Nissan,91.0,438808
8559,10470,6381,Mercedez-Benz,111.0,3755339
10537,12893,19712,Ford,107.0,3424893
11534,14073,18596,BMW,305.0,2444102
10532,12884,11405,Daewoo,70.0,376324
6410,7839,8531,KIA,319.0,2416442
6417,7848,4444,Daewoo,459.0,3472765
11537,14076,11821,KIA,110.0,1402136
3363,4145,19410,Daewoo,202.0,2459617
1012,1244,6165,Nissan,338.0,1789580
11539,14079,4351,Subaru,204.0,2511047
3316,4086,16000,KIA,329.0,3535870
3287,4052,6599,BMW,440.0,593444
6590,8059,18535,BMW,278.0,3048239
6605,8077,12260,KIA,179.0,2458072
2202,2706,241,Ford,83.0,237201
2205,2709,14496,Toyota,282.0,2386534
6688,8180,12130,Ford,265.0,1132350
6711,8207,19851,Ford,86.0,2570468
8431,10318,12218,KIA,404.0,2139304
8429,10315,17683,Mercedez-Benz,436.0,898581
300,354,16966,Ford,394.0,479667
176,212,3694,Ford,284.0,2211121
6787,8299,17409,Infiniti,371.0,3388102
6360,7777,7498,KIA,86.0,1815451
10630,13005,16182,KIA,146.0,3310743
6327,7742,11739,Nissan,149.0,3765624
3478,4287,311,Nissan,283.0,2182341
9742,11916,9338,Mercedez-Benz,437.0,1932698
5927,7244,4399,Nissan,152.0,640520
2022,2489,2243,KIA,447.0,3784822
6018,7353,11341,Daewoo,197.0,3905979
12098,14770,13562,Toyota,376.0,3376846
903,1106,4485,Mercedez-Benz,238.0,2837676
6054,7398,10177,LADA,205.0,3911653
2044,2512,15492,Infiniti,427.0,3420519
6060,7404,16201,Daewoo,195.0,592213
327,386,13254,LADA,192.0,3521880
12090,14761,9747,Subaru,73.0,1338458
8372,10248,1476,Nissan,354.0,3977257
3597,4427,18811,LADA,447.0,3268959
9799,11989,9839,Audi,362.0,2722561
8669,10600,15492,Mercedez-Benz,101.0,207232
8662,10593,15245,LADA,157.0,1320763
318,375,9209,Infiniti,463.0,3270412
135,166,19596,Nissan,90.0,3951606
3545,4369,745,Audi,311.0,1786000
6177,7549,13795,Daewoo,296.0,2479028
6186,7560,11912,Subaru,273.0,3532081
3514,4335,6336,Mercedez-Benz,414.0,585778
316,373,12341,BMW,411.0,2963015
10680,13065,11666,Toyota,122.0,2265226
2055,2525,9625,LADA,493.0,2784746
6813,8328,4921,Infiniti,83.0,1307235
3149,3873,12993,LADA,444.0,1540848
3140,3863,351,BMW,142.0,292814
7262,8869,19488,Toyota,194.0,3109502
7265,8873,6143,Toyota,318.0,3499583
7294,8909,19488,KIA,248.0,1751404
1108,1357,4772,Nissan,416.0,3301481
2473,3040,15312,BMW,251.0,1310244
7315,8934,15976,BMW,471.0,557062
7322,8942,7460,Daewoo,276.0,3803624
439,522,5026,Audi,461.0,1417113
7969,9745,16634,Ford,371.0,3184277
2816,3470,3123,Audi,167.0,3256770
267,316,17443,Mercedez-Benz,284.0,3073191
2900,3572,1685,Subaru,408.0,456974
2756,3398,6836,Toyota,179.0,3146322
7602,9281,19596,Ford,104.0,1508839
1144,1403,15297,Daewoo,79.0,3717344
10086,12359,11171,Infiniti,222.0,2575495
7634,9316,426,KIA,122.0,3343466
11831,14432,18172,Audi,305.0,2075785
10089,12362,17627,Daewoo,495.0,3382517
7658,9347,13946,Toyota,381.0,3010510
7671,9363,18397,Subaru,145.0,2474050
248,297,19668,Ford,163.0,1519397
10112,12393,9747,LADA,325.0,3781714
7780,9500,14538,Mercedez-Benz,287.0,1799389
10031,12285,18492,KIA,302.0,1424354
12108,14781,3141,KIA,224.0,1627680
9936,12171,6836,KIA,74.0,3197340
7251,8856,9512,Ford,492.0,1766125
1025,1257,14916,Audi,208.0,3558785
8366,10241,426,KIA,150.0,3640088
6889,8418,6187,BMW,226.0,3343875
3098,3815,15739,Daewoo,119.0,232269
8304,10166,13072,LADA,243.0,260650
6921,8457,12993,Ford,94.0,950025
6924,8460,19244,Audi,438.0,605560
6938,8477,15913,Infiniti,87.0,1965797
193,232,9231,Daewoo,384.0,2533225
1553,1915,5422,Subaru,326.0,2028897
8261,10118,6165,Toyota,103.0,2340489
9931,12164,10515,Ford,107.0,2504867
7030,8584,17268,Toyota,125.0,1929686
201,241,11739,Toyota,470.0,1338041
8242,10095,14252,Nissan,447.0,2369904
2328,2864,11597,Daewoo,153.0,620671
8235,10086,16860,KIA,163.0,1145168
8212,10054,9512,LADA,315.0,3784556
8170,10006,375,LADA,320.0,2558312
11782,14370,16860,Audi,322.0,394067
8098,9911,15739,Toyota,103.0,3969175
8060,9868,19488,Infiniti,347.0,3718524
2431,2995,6381,LADA,75.0,426477
7249,8853,241,Toyota,325.0,1939671
1043,1277,18811,Infiniti,472.0,2277158
5916,7229,14533,Ford,252.0,643042
10179,12467,18172,KIA,140.0,1131544
4112,5048,10143,Audi,427.0,1901122
12193,14880,15442,LADA,172.0,3165901
4085,5016,2890,Ford,243.0,3366315
4772,5830,11597,Subaru,119.0,1722449
11087,13548,3881,LADA,91.0,967350
11086,13547,11912,Infiniti,152.0,1190960
1724,2123,15064,BMW,276.0,1662514
5344,6538,9882,Subaru,254.0,2886721
9230,11285,328,Nissan,367.0,763136
4770,5828,11722,KIA,430.0,452137
5275,6450,5752,LADA,256.0,329212
5375,6573,11662,Daewoo,454.0,989707
4384,5373,13199,BMW,112.0,860782
9179,11217,6381,Audi,109.0,306992
9539,11664,15739,Ford,78.0,2767168
3973,4877,9839,Subaru,200.0,2923172
9374,11458,9231,LADA,87.0,1541210
9556,11689,18538,Ford,453.0,1169554
9378,11465,17355,Ford,73.0,3769420
11054,13511,5812,Daewoo,153.0,611190
4941,6031,15945,LADA,254.0,2660507
11455,13978,2103,Mercedez-Benz,453.0,3237578
4726,5770,9747,Subaru,166.0,2794913
9696,11862,11123,LADA,84.0,1050008
5249,6420,11684,Ford,356.0,830836
4279,5252,11597,Daewoo,333.0,2531859
31,42,7,Subaru,163.0,3938379
9287,11354,11684,Toyota,389.0,3189712
628,771,14505,Nissan,262.0,1040937
632,778,9559,Nissan,318.0,2372291
4918,6004,9231,Subaru,152.0,3086066
1689,2082,10630,BMW,379.0,3240828
5081,6210,18538,Toyota,95.0,3091318
4336,5314,15945,Daewoo,468.0,806086
1717,2116,5319,Ford,266.0,2664235
42,54,10177,BMW,496.0,3258697
594,725,4399,LADA,440.0,1284273
1636,2019,17683,Ford,427.0,229637
4807,5869,10787,Ford,352.0,3233718
5135,6278,12341,Subaru,408.0,3782926
1711,2108,8518,Nissan,350.0,3896288
4158,5103,19712,Ford,198.0,1183818
1714,2111,17201,Mercedez-Benz,80.0,1015997
5212,6376,11684,BMW,352.0,471461
11664,14234,14251,Audi,406.0,811169
4823,5890,6567,Infiniti,235.0,2881566
5551,6787,6073,Toyota,131.0,3380241
1662,2050,3141,Nissan,315.0,2522757
9145,11170,5769,Infiniti,279.0,2565600
9008,11002,4379,Toyota,331.0,1615659
347,413,2890,BMW,295.0,3651467
801,979,9286,Audi,413.0,3837605
9389,11477,5675,Ford,266.0,3323524
5804,7083,6599,Audi,156.0,257283
12272,14972,11261,Toyota,267.0,989096
1921,2365,16860,Infiniti,299.0,941396
12274,14974,13883,Mercedez-Benz,398.0,2635480
793,970,18811,BMW,407.0,2894249
8865,10831,4439,Daewoo,305.0,855706
4458,5456,12520,LADA,197.0,363198
4472,5471,2890,Audi,113.0,2170122
4559,5576,3068,KIA,136.0,2901242
800,978,9209,Infiniti,109.0,1931830
